trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
352,False,"{'a': 0.8, 'e': 0.02907960468580265}",20,14,9.769783247764611,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.8, 'e': 0.028788808638944622}",30,10,34.750110271074384,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.8, 'e': 0.028500920552555174}",25,17,14.413674201605781,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.8, 'e': 0.028215911347029624}",30,10,-10.602228079737564,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
356,False,"{'a': 0.8, 'e': 0.027933752233559327}",30,8,36.94366884195573,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.8, 'e': 0.027654414711223735}",25,17,14.674061023006743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.8, 'e': 0.027377870564111496}",20,9,22.535995057226295,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.8, 'e': 0.027104091858470382}",25,8,26.03680170991218,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.8, 'e': 0.026833050939885677}",30,19,20.146444300633103,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.8, 'e': 0.02656472043048682}",25,14,22.245314163469914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.8, 'e': 0.02629907322618195}",20,14,9.850629834731066,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.8, 'e': 0.026036082493920133}",25,3,29.325167203733017,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.8, 'e': 0.02577572166898093}",20,9,20.73244578632472,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.8, 'e': 0.025517964452291122}",20,15,10.615599041085815,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.8, 'e': 0.02526278480776821}",30,11,38.651883049402244,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.8, 'e': 0.025010156959690527}",25,7,18.27860307064022,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
368,False,"{'a': 0.8, 'e': 0.02476005539009362}",20,7,15.702429034320453,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,12,36.52206054333179,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,15,20.46076689589232,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,20,8.879496042848649,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,7,34.647272063587536,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,17,15.00459459630353,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,11,22.699679192083824,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,14,19.215099996638603,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,14,22.128613864920613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,17,16.53097970234112,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,13,25.65034508401996,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
